0 1 2 
1 0 3 4 
2 0 5 6 
3 1 7 8 
4 1 9 10 
5 2 11 12 
6 2 13 14 
7 3 15 16 
8 3 17 18 
9 4 19 20 
10 4 21 22 
11 5 23 24 
12 5 25 26 
13 6 27 28 
14 6 29 30 
15 7 31 32 
16 7 33 34 
17 8 35 36 
18 8 37 38 
19 9 39 40 
20 9 41 42 
21 10 43 44 
22 10 45 46 
23 11 47 48 
24 11 49 50 
25 12 51 52 
26 12 53 54 
27 13 55 56 
28 13 57 58 
29 14 59 60 
30 14 61 62 
31 15 63 64 
32 15 65 66 
33 16 67 68 
34 16 69 70 
35 17 71 72 
36 17 73 74 
37 18 75 76 
38 18 77 78 
39 19 79 80 
40 19 81 82 
41 20 83 84 
42 20 85 86 
43 21 87 88 
44 21 89 90 
45 22 91 92 
46 22 93 94 
47 23 95 96 
48 23 97 98 
49 24 99 100 
50 24 101 102 
51 25 103 104 
52 25 105 106 
53 26 107 108 
54 26 109 110 
55 27 111 112 
56 27 113 114 
57 28 115 116 
58 28 117 118 
59 29 119 120 
60 29 121 122 
61 30 123 124 
62 30 125 126 
63 31 158 190 
64 31 153 164 
65 32 136 152 
66 32 143 184 
67 33 137 160 
68 33 133 183 
69 34 129 144 
70 34 132 142 
71 35 149 185 
72 35 151 167 
73 36 139 189 
74 36 148 159 
75 37 153 190 
76 37 137 173 
77 38 134 182 
78 38 127 188 
79 39 143 155 
80 39 147 154 
81 40 172 181 
82 40 147 182 
83 41 170 185 
84 41 134 144 
85 42 175 176 
86 42 158 162 
87 43 150 183 
88 43 131 175 
89 44 138 178 
90 44 135 171 
91 45 131 146 
92 45 170 177 
93 46 138 189 
94 46 174 181 
95 47 140 179 
96 47 161 187 
97 48 154 168 
98 48 169 186 
99 49 148 151 
100 49 180 187 
101 50 160 172 
102 50 155 166 
103 51 135 168 
104 51 128 146 
105 52 159 163 
106 52 180 184 
107 53 128 129 
108 53 136 178 
109 54 141 145 
110 54 167 171 
111 55 145 156 
112 55 139 165 
113 56 157 165 
114 56 163 166 
115 57 132 141 
116 57 162 174 
117 58 127 157 
118 58 150 161 
119 59 156 179 
120 59 152 176 
121 60 140 173 
122 60 130 186 
123 61 164 177 
124 61 130 149 
125 62 169 188 
126 62 133 142 
127 78 117 191 
128 104 107 191 
129 69 107 192 
130 122 124 192 
131 88 91 193 
132 70 115 193 
133 68 126 194 
134 77 84 194 
135 90 103 195 
136 65 108 195 
137 67 76 196 
138 89 93 196 
139 73 112 197 
140 95 121 197 
141 109 115 198 
142 70 126 198 
143 66 79 199 
144 69 84 199 
145 109 111 200 
146 91 104 200 
147 80 82 201 
148 74 99 201 
149 71 124 202 
150 87 118 202 
151 72 99 203 
152 65 120 203 
153 64 75 204 
154 80 97 204 
155 79 102 205 
156 111 119 205 
157 113 117 206 
158 63 86 206 
159 74 105 207 
160 67 101 207 
161 96 118 208 
162 86 116 208 
163 105 114 209 
164 64 123 209 
165 112 113 210 
166 102 114 210 
167 72 110 211 
168 97 103 211 
169 98 125 212 
170 83 92 212 
171 90 110 213 
172 81 101 213 
173 76 121 214 
174 94 116 214 
175 85 88 215 
176 85 120 215 
177 92 123 216 
178 89 108 216 
179 95 119 217 
180 100 106 217 
181 81 94 218 
182 77 82 218 
183 68 87 219 
184 66 106 219 
185 71 83 220 
186 98 122 220 
187 96 100 221 
188 78 125 221 
189 73 93 222 
190 63 75 222 
191 127 128 223 
192 129 130 223 
193 131 132 224 
194 133 134 224 
195 135 136 225 
196 137 138 225 
197 139 140 226 
198 141 142 226 
199 143 144 227 
200 145 146 227 
201 147 148 228 
202 149 150 228 
203 151 152 229 
204 153 154 229 
205 155 156 230 
206 157 158 230 
207 159 160 231 
208 161 162 231 
209 163 164 232 
210 165 166 232 
211 167 168 233 
212 169 170 233 
213 171 172 234 
214 173 174 234 
215 175 176 235 
216 177 178 235 
217 179 180 236 
218 181 182 236 
219 183 184 237 
220 185 186 237 
221 187 188 238 
222 189 190 238 
223 191 192 239 
224 193 194 239 
225 195 196 240 
226 197 198 240 
227 199 200 241 
228 201 202 241 
229 203 204 242 
230 205 206 242 
231 207 208 243 
232 209 210 243 
233 211 212 244 
234 213 214 244 
235 215 216 245 
236 217 218 245 
237 219 220 246 
238 221 222 246 
239 223 224 247 
240 225 226 247 
241 227 228 248 
242 229 230 248 
243 231 232 249 
244 233 234 249 
245 235 236 250 
246 237 238 250 
247 239 240 251 
248 241 242 251 
249 243 244 252 
250 245 246 252 
251 247 248 253 
252 249 250 253 
253 251 252 
