0 1 2 
1 0 3 4 
2 0 5 6 
3 1 7 8 
4 1 9 10 
5 2 11 12 
6 2 13 14 
7 3 15 16 
8 3 17 18 
9 4 19 20 
10 4 21 22 
11 5 23 24 
12 5 25 26 
13 6 27 28 
14 6 29 30 
15 7 31 32 
16 7 33 34 
17 8 35 36 
18 8 37 38 
19 9 39 40 
20 9 41 42 
21 10 43 44 
22 10 45 46 
23 11 47 48 
24 11 49 50 
25 12 51 52 
26 12 53 54 
27 13 55 56 
28 13 57 58 
29 14 59 60 
30 14 61 62 
31 15 63 71 
32 15 68 69 
33 16 65 76 
34 16 70 73 
35 17 77 84 
36 17 68 89 
37 18 67 93 
38 18 71 89 
39 19 74 82 
40 19 83 91 
41 20 72 93 
42 20 74 92 
43 21 86 87 
44 21 75 78 
45 22 65 85 
46 22 70 85 
47 23 63 87 
48 23 83 94 
49 24 78 80 
50 24 75 88 
51 25 79 81 
52 25 66 90 
53 26 64 72 
54 26 64 88 
55 27 67 94 
56 27 76 80 
57 28 86 92 
58 28 79 82 
59 29 73 77 
60 29 69 90 
61 30 81 91 
62 30 66 84 
63 31 47 95 
64 53 54 95 
65 33 45 96 
66 52 62 96 
67 37 55 97 
68 32 36 97 
69 32 60 98 
70 34 46 98 
71 31 38 99 
72 41 53 99 
73 34 59 100 
74 39 42 100 
75 44 50 101 
76 33 56 101 
77 35 59 102 
78 44 49 102 
79 51 58 103 
80 49 56 103 
81 51 61 104 
82 39 58 104 
83 40 48 105 
84 35 62 105 
85 45 46 106 
86 43 57 106 
87 43 47 107 
88 50 54 107 
89 36 38 108 
90 52 60 108 
91 40 61 109 
92 42 57 109 
93 37 41 110 
94 48 55 110 
95 63 64 111 
96 65 66 111 
97 67 68 112 
98 69 70 112 
99 71 72 113 
100 73 74 113 
101 75 76 114 
102 77 78 114 
103 79 80 115 
104 81 82 115 
105 83 84 116 
106 85 86 116 
107 87 88 117 
108 89 90 117 
109 91 92 118 
110 93 94 118 
111 95 96 119 
112 97 98 119 
113 99 100 120 
114 101 102 120 
115 103 104 121 
116 105 106 121 
117 107 108 122 
118 109 110 122 
119 111 112 123 
120 113 114 123 
121 115 116 124 
122 117 118 124 
123 119 120 125 
124 121 122 125 
125 123 124 
