0 1 2 
1 0 3 4 
2 0 5 6 
3 1 7 8 
4 1 9 10 
5 2 11 12 
6 2 13 14 
7 3 15 16 
8 3 17 18 
9 4 19 20 
10 4 21 22 
11 5 23 24 
12 5 25 26 
13 6 27 28 
14 6 29 30 
15 7 44 46 
16 7 38 46 
17 8 40 43 
18 8 35 42 
19 9 35 37 
20 9 36 39 
21 10 34 36 
22 10 38 45 
23 11 40 42 
24 11 31 43 
25 12 32 34 
26 12 41 45 
27 13 31 39 
28 13 33 37 
29 14 33 41 
30 14 32 44 
31 24 27 47 
32 25 30 47 
33 28 29 48 
34 21 25 48 
35 18 19 49 
36 20 21 49 
37 19 28 50 
38 16 22 50 
39 20 27 51 
40 17 23 51 
41 26 29 52 
42 18 23 52 
43 17 24 53 
44 15 30 53 
45 22 26 54 
46 15 16 54 
47 31 32 55 
48 33 34 55 
49 35 36 56 
50 37 38 56 
51 39 40 57 
52 41 42 57 
53 43 44 58 
54 45 46 58 
55 47 48 59 
56 49 50 59 
57 51 52 60 
58 53 54 60 
59 55 56 61 
60 57 58 61 
61 59 60 
